geek_rate,title,num_votes,avg_rate,id
7.172,Maria,1869,7.97,40354
7.171,Mansions of Madness,10302,7.40,83330
7.167,Indonesia,2488,7.74,19777
7.166,Antiquity,2186,7.83,13122
7.162,At the Gates of Loyang,6935,7.38,39683
7.162,Sentinels of the Multiverse,10612,7.37,102652
7.161,Roads & Boats,2445,7.76,875
7.161,Blood Bowl (Third Edition),4416,7.58,712
7.160,Lancaster,4635,7.49,96913
7.159,Forbidden Desert,13799,7.30,136063
7.158,Lord of the Rings: The Confrontation,4425,7.51,18833
7.156,Fresco,8510,7.34,66188
7.153,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,9230,7.38,133038
7.152,Amun-Re,7108,7.37,5404
7.151,Modern Art,11307,7.30,118
7.151,1775: Rebellion,2230,7.84,128996
7.150,Flash Point: Fire Rescue,13140,7.29,100901
7.149,Glen More,6933,7.36,66362
7.149,London,5419,7.42,65781
7.148,Descent: Journeys in the Dark,10186,7.35,17226
7.145,Deception: Murder in Hong Kong,3500,7.59,156129
7.144,Cthulhu Wars,1968,8.06,139976
7.141,Hanabi,22482,7.23,98778
7.139,Quadropolis,4406,7.50,176396
7.137,Catan,65333,7.28,13
7.130,Small World Underground,6792,7.38,97786
7.129,Thunderstone Advance: Towers of Ruin,3994,7.52,116998
7.129,Pandemic: The Cure,5289,7.42,150658
7.126,Kingsburg,14838,7.24,27162
7.126,Sushi Go Party!,2377,7.78,192291
7.121,Vinhos,3519,7.55,42052
7.121,Heroscape Master Set: Rise of the Valkyrie,6841,7.41,11170
7.121,Santorini,1370,8.32,194655
7.121,Egizia,4272,7.46,58421
7.116,A Game of Thrones: The Card Game (Second Edition),2032,7.96,169255
7.113,For Sale,14916,7.22,172
7.113,Hammer of the Scots,3356,7.57,3685
7.111,Time's Up! Title Recall!,2089,7.79,36553
7.111,Innovation,10581,7.26,63888
7.106,Amerigo,3686,7.50,137408
7.102,Zombicide,10484,7.34,113924
7.101,Archipelago,4858,7.43,105551
7.100,Nippon,1935,7.84,154809
7.099,Taj Mahal,6161,7.34,475
7.097,Commands & Colors: Napoleonics,1738,7.97,62222
7.095,Bruxelles 1893,2678,7.64,144592
7.094,Libertalia,8467,7.28,125618
7.092,Airlines Europe,5228,7.37,90419
7.092,Firefly: The Game,6481,7.41,138161
7.091,Colt Express,10754,7.25,158899
7.090,Spyfall,9381,7.25,166384
7.089,Shadows of Brimstone: City of the Ancients,1939,8.06,146791
7.088,Legends of Andor,7187,7.33,127398
7.086,Spartacus: A Game of Blood & Treachery,4466,7.48,128671
7.084,A Game of Thrones (first edition),9241,7.30,6472
7.082,Champions of Midgard,2648,7.65,172287
7.081,Biblios,9313,7.25,34219
7.081,"Labyrinth: The War on Terror, 2001 – ?",3054,7.58,62227
7.080,Deus,4408,7.41,162082
7.080,Struggle of Empires,3376,7.52,9625
7.079,Vikings,6692,7.30,27173
7.079,Automobile,4665,7.38,39351
7.078,Tales of the Arabian Nights,8278,7.29,34119
7.078,Wallenstein (first edition),3273,7.53,3307
7.074,Elysium,4666,7.39,163968
7.064,Citadels,36641,7.15,478
7.064,Tiny Epic Galaxies,5147,7.38,163967
7.063,The Grizzled,4941,7.37,171668
7.063,Euphoria: Build a Better Dystopia,5436,7.36,133848
7.061,The Republic of Rome,3305,7.55,1513
7.058,Last Will,6509,7.27,97842
7.058,Carson City,5609,7.31,39938
7.056,Dead of Winter: The Long Night,1445,8.18,193037
7.056,Lost Cities,25921,7.14,50
7.056,Onitama,2508,7.66,160477
7.055,RoboRally,19025,7.16,18
7.055,Paperback,4103,7.40,141572
7.054,Freedom: The Underground Railroad,2335,7.65,119506
7.053,Evolution,6422,7.30,155703
7.052,Friday,8295,7.25,43570
7.050,Nexus Ops,7480,7.26,15363
7.050,Ingenious,12676,7.18,9674
7.050,PitchCar,7436,7.25,150
7.050,Francis Drake,3056,7.51,140603
7.050,Smash Up: Awesome Level 9000,4819,7.40,134726
7.048,Ginkgopolis,3606,7.43,128271
7.047,Gears of War: The Board Game,3678,7.50,42776
7.046,Shadows over Camelot,19690,7.16,15062
7.044,Belfort,4848,7.34,50750
7.043,San Juan (second edition),2184,7.69,166669
7.041,Dixit: Journey,3301,7.50,121288
7.041,Up Front,1845,7.84,586
7.038,StarCraft: The Board Game,5969,7.34,22827
7.037,Warhammer Quest: The Adventure Card Game,2694,7.66,181521
7.036,1989: Dawn of Freedom,1579,7.92,26997
7.035,Madeira,2236,7.67,95527
7.034,Defenders of the Realm,4444,7.39,65532
7.034,Conflict of Heroes: Awakening the Bear! – Russia 1941-42,2793,7.57,24800
7.033,Sushi Go!,15975,7.15,133473
7.031,AquaSphere,3915,7.39,159508
7.030,Tajemnicze Domostwo,3780,7.41,113997
7.029,Napoleon's Triumph,1493,7.97,18098
7.029,Abyss,4981,7.34,155987
7.027,Star Realms: Colony Wars,1492,7.98,182631
7.024,Ashes: Rise of the Phoenixborn,2626,7.69,167400
7.023,Coup,19372,7.13,131357
7.023,Trains,5674,7.27,121408
7.021,Thurn and Taxis,14924,7.13,21790
7.021,Marvel Dice Masters: Avengers vs. X-Men,4611,7.36,148575
7.020,DVONN,3535,7.43,2346
7.018,Summoner Wars,4900,7.34,58281
7.016,Snowdonia,3084,7.46,119432
7.014,The Duke,2544,7.59,36235
7.011,King of New York,7930,7.21,160499
7.010,Burgle Bros.,2214,7.65,172081
7.010,Combat Commander: Pacific,1233,8.11,28181
7.009,Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,1189,8.20,183562
7.008,Fire in the Lake,1293,8.12,144189
7.006,Star Trek: Fleet Captains,2667,7.59,79127
7.005,Time's Up!,3840,7.36,1353
7.003,Specter Ops,3172,7.45,155624
7.002,Stockpile,2230,7.65,161614
7.001,Chicago Express,5790,7.23,31730
6.996,Luna,3141,7.42,70512
6.995,Star Wars: The Card Game,4149,7.39,103886
