geek_rate,title,num_votes,avg_rate,id
7.150,1775: Rebellion,2387,7.82,128996
7.147,Modern Art,11478,7.30,118
7.146,Sentinels of the Multiverse,11098,7.35,102652
7.144,London,5520,7.42,65781
7.143,Glen More,7129,7.36,66362
7.142,Forbidden Desert,14916,7.28,136063
7.138,Amun-Re,7228,7.36,5404
7.137,Flash Point: Fire Rescue,13861,7.28,100901
7.136,Cthulhu Wars,2129,8.04,139976
7.136,Descent: Journeys in the Dark,10302,7.35,17226
7.133,Pandemic: The Cure,5753,7.42,150658
7.129,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,9666,7.35,133038
7.126,Hanabi,23973,7.21,98778
7.124,Nippon,2206,7.83,154809
7.122,Catan,68191,7.26,13
7.122,Small World Underground,7131,7.37,97786
7.121,Bruxelles 1893,2898,7.66,144592
7.118,Kingsburg,15281,7.24,27162
7.116,For Sale,15681,7.22,172
7.116,Heroscape Master Set: Rise of the Valkyrie,6942,7.42,11170
7.114,Amerigo,3935,7.51,137408
7.113,Egizia,4346,7.46,58421
7.112,Vinhos,3623,7.54,42052
7.110,A Game of Thrones: The Card Game (Second Edition),2263,7.91,169255
7.107,Thunderstone Advance: Towers of Ruin,4082,7.51,116998
7.106,Star Realms: Colony Wars,1857,7.97,182631
7.106,Innovation,10950,7.26,63888
7.105,Time's Up! Title Recall!,2178,7.79,36553
7.103,Archipelago,5162,7.43,105551
7.101,Hammer of the Scots,3403,7.57,3685
7.101,Burgle Bros.,2812,7.67,172081
7.097,Tiny Epic Galaxies,5980,7.39,163967
7.091,Legends of Andor,7908,7.33,127398
7.090,Firefly: The Game,6957,7.41,138161
7.089,Commands & Colors: Napoleonics,1821,7.96,62222
7.087,Airlines Europe,5420,7.38,90419
7.086,Shadows of Brimstone: City of the Ancients,2111,8.05,146791
7.086,Taj Mahal,6232,7.33,475
7.083,Libertalia,8957,7.27,125618
7.083,Biblios,10007,7.25,34219
7.081,Colt Express,12093,7.24,158899
7.080,Zombicide,11114,7.32,113924
7.080,"Labyrinth: The War on Terror, 2001 – ?",3190,7.59,62227
7.078,Spartacus: A Game of Blood & Treachery,4735,7.48,128671
7.077,Paperback,4732,7.41,141572
7.074,Deus,4690,7.40,162082
7.072,Tales of the Arabian Nights,8701,7.29,34119
7.070,Vikings,6803,7.29,27173
7.070,The Grizzled,5834,7.35,171668
7.069,A Game of Thrones (first edition),9342,7.29,6472
7.069,Secret Hitler,3711,7.62,188834
7.068,Automobile,4734,7.37,39351
7.067,Struggle of Empires,3411,7.51,9625
7.067,Elysium,5124,7.37,163968
7.066,San Juan (second edition),2512,7.66,166669
7.063,Lost Cities,26883,7.15,50
7.063,Wallenstein (first edition),3288,7.53,3307
7.060,Star Wars: Destiny,1754,8.15,205359
7.058,Friday,9036,7.25,43570
7.058,Citadels,37823,7.15,478
7.057,Evolution,7161,7.29,155703
7.055,Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,1404,8.16,183562
7.055,Carson City,5738,7.31,39938
7.054,Euphoria: Build a Better Dystopia,5769,7.35,133848
7.054,Freedom: The Underground Railroad,2496,7.64,119506
7.053,Last Will,6788,7.27,97842
7.052,Spyfall,10513,7.20,166384
7.049,Stockpile,2581,7.66,161614
7.048,The Republic of Rome,3376,7.55,1513
7.047,Ginkgopolis,3764,7.44,128271
7.047,Francis Drake,3199,7.51,140603
7.045,Ingenious,12957,7.17,9674
7.044,PitchCar,7599,7.25,150
7.043,Shadows over Camelot,20344,7.16,15062
7.042,RoboRally,19427,7.15,18
7.041,Nexus Ops,7590,7.26,15363
7.040,Cry Havoc,2651,7.64,192457
7.038,Warhammer Quest: The Adventure Card Game,3027,7.62,181521
7.038,Madeira,2390,7.66,95527
7.034,51st State: Master Set,1777,7.93,192458
7.032,AquaSphere,4241,7.39,159508
7.032,Abyss,5351,7.33,155987
7.031,Dixit: Journey,3411,7.49,121288
7.030,Gears of War: The Board Game,3784,7.49,42776
7.030,StarCraft: The Board Game,6063,7.34,22827
7.029,Sushi Go!,17821,7.15,133473
7.029,Defenders of the Realm,4562,7.39,65532
7.027,Up Front,1873,7.84,586
7.026,Smash Up: Awesome Level 9000,5047,7.37,134726
7.025,Belfort,4978,7.33,50750
7.023,Ashes: Rise of the Phoenixborn,3000,7.62,167400
7.019,Snowdonia,3218,7.47,119432
7.017,Napoleon's Triumph,1528,7.98,18098
7.017,Thurn and Taxis,15199,7.13,21790
7.015,Conflict of Heroes: Awakening the Bear! – Russia 1941-42,2818,7.57,24800
7.014,DVONN,3599,7.43,2346
7.013,Trains,5912,7.26,121408
7.012,1989: Dawn of Freedom,1626,7.90,26997
7.010,Hero Realms,1865,7.90,198994
7.010,Summoner Wars,5035,7.34,58281
7.008,Coup (2012),20957,7.12,131357
7.005,Tajemnicze Domostwo,3888,7.39,113997
7.005,Millennium Blades,1633,8.00,151347
7.002,The Duke,2712,7.56,36235
6.999,TZAAR,2118,7.68,31999
6.998,Chicago Express,5951,7.23,31730
6.997,Specter Ops,3493,7.43,155624
6.993,Star Trek: Fleet Captains,2743,7.58,79127
6.991,Lords of Vegas,4421,7.32,20437
6.991,King of New York,8615,7.19,160499
6.991,Time's Up!,3935,7.35,1353
6.989,The Manhattan Project: Energy Empire,1475,8.01,176734
6.989,One Night Ultimate Werewolf Daybreak,2605,7.57,163166
6.988,Marvel Dice Masters: Avengers vs. X-Men,4735,7.33,148575
6.987,Fire in the Lake,1355,8.09,144189
6.986,Pax Porfiriana,1966,7.71,128780
6.986,Combat Commander: Pacific,1247,8.10,28181
6.985,Thebes,7666,7.18,30869
6.985,Colosseum,6960,7.21,27746
6.984,Quantum,4285,7.35,143519
6.982,Bohnanza,28525,7.07,11
6.982,Chinatown,5886,7.23,47
6.979,Fury of Dracula (second edition),8208,7.20,20963
6.976,Luna,3274,7.40,70512
6.975,Advanced Squad Leader: Starter Kit #1,1950,7.77,9823
6.968,Baseball Highlights: 2045,1949,7.70,151022
6.968,Camel Up,12295,7.11,153938
6.967,Evolution: Climate,1533,7.98,182134
6.966,Arboretum,3682,7.37,140934
6.965,Carcassonne: Hunters and Gatherers,9632,7.15,4390
6.965,Pandemic: Reign of Cthulhu,2722,7.59,192153
6.965,Star Wars: The Card Game,4269,7.37,103886
6.965,Vegas Showdown,5447,7.22,15364
6.964,Zombicide Season 2: Prison Outbreak,2872,7.55,137988
6.963,The Battle of Five Armies,1443,7.99,135219
6.963,Betrayal at House on the Hill,22007,7.14,10547
6.963,Among the Stars,5169,7.23,110277
6.962,Washington's War,1929,7.68,38996
6.961,Myrmes,3758,7.35,126792
6.959,Summoner Wars: Phoenix Elves vs Tundra Orcs,2200,7.61,82421
6.959,Lord of the Rings: The Confrontation,5893,7.22,3201
6.959,Cuba,6979,7.18,30380
6.959,Summoner Wars: Guild Dwarves vs Cave Goblins,2043,7.66,82420
6.958,Tobago,8316,7.13,42215
6.958,Escape: The Curse of the Temple,11565,7.10,113294
6.954,Torres,7000,7.18,88
6.954,Shadows of Brimstone: Swamps of Death,1446,8.11,150997
6.953,Alhambra,21471,7.04,6249
6.952,Middle-Earth Quest,3429,7.40,31563
6.952,Mr. Jack,11851,7.09,21763
6.949,Space Hulk,3193,7.46,2163
6.948,Imhotep,3892,7.32,191862
6.946,Karuba,3622,7.34,183251
6.945,No Thanks!,14589,7.04,12942
6.945,Eminent Domain,7461,7.14,68425
6.944,Marvel Dice Masters: Uncanny X-Men,3072,7.42,158275
6.943,Taluva,6062,7.19,24508
6.943,Raiders of the North Sea,1649,7.86,170042
6.943,Age of Industry,2606,7.47,65901
6.939,Schotten Totten,3791,7.30,372
6.939,Discworld: Ankh-Morpork,6940,7.19,91312
6.938,ZhanGuo,1888,7.68,160495
6.938,Jamaica,10447,7.10,28023
6.935,Yedo,2577,7.50,117915
6.934,Love Letter: Batman,3384,7.39,168584
6.934,Vasco da Gama,3735,7.32,41002
6.934,Tinners' Trail,3454,7.33,35570
6.934,Virgin Queen,1204,8.09,41066
6.933,Warhammer: Invasion,5039,7.27,47185
6.931,Steampunk Rally,2982,7.42,162007
6.931,Yspahan,7042,7.14,22345
6.928,Shipyard,2938,7.39,55600
6.927,Chess,20292,7.09,171
6.924,Raptor,2413,7.51,177639
6.924,Friedrich,2204,7.57,12891
6.920,Dungeons & Dragons: The Legend of Drizzt Board Game,4152,7.34,91872
6.919,Broom Service,3650,7.29,172308
6.918,Formula D,12255,7.06,37904
6.913,The Great Zimbabwe,1612,7.75,111341
6.913,K2,6494,7.14,73761
6.912,Union Pacific,3939,7.25,94
6.911,Through the Desert,10570,7.05,503
6.911,World Without End,3681,7.29,43528
6.910,Medici,5740,7.15,46
6.910,Agricola (revised edition),1009,8.41,200680
6.910,Tokaido,10622,7.09,123540
6.910,The Downfall of Pompeii,6011,7.14,13004
6.909,XCOM: The Board Game,5009,7.21,163602
6.909,Kingdom Builder,13296,7.03,107529
6.908,Legendary: Villains – A Marvel Deck Building Game,1813,7.75,156689
6.906,Mare Nostrum: Empires,1657,7.79,174785
6.905,Shakespeare,2222,7.52,180511
6.904,Tash-Kalar: Arena of Legends,3987,7.26,146278
6.903,Tribune: Primus Inter Pares,3936,7.25,30957
6.903,Squad Leader,2686,7.48,1035
6.900,Homesteaders,3055,7.32,26566
6.899,Heroscape Master Set: Swarm of the Marro,2013,7.63,27976
6.899,Space Empires: 4X,2023,7.59,84419
6.899,Vinhos Deluxe Edition,845,8.48,175640
6.898,Smash Up: Science Fiction Double Feature,2742,7.44,151004
6.896,The Colonists,1277,7.99,192836
6.895,Conan,1618,8.08,160010
6.895,Panamax,2537,7.41,131287
6.895,Conflict of Heroes: Awakening the Bear! (second edition),1149,8.13,132028
6.894,Ca$h 'n Guns (Second Edition),7261,7.09,155362
6.893,Argent: The Consortium,1489,7.81,144797
6.892,Bridge,2603,7.48,2181
6.892,Kingdomino,2448,7.48,204583
6.891,Reef Encounter,4603,7.17,12962
6.889,Port Royal,5340,7.16,156009
6.888,Spyrium,4654,7.17,137269
